,DateTime,Junction,Vehicles,Time,Hour,Month-Day,Day-of-Week,Year,Month,Day
0,2015-11-01 00:00:00,1,15,00:00:00,0,1101,6,2015,11,01
1,2015-11-01 01:00:00,1,13,01:00:00,1,1101,6,2015,11,01
2,2015-11-01 02:00:00,1,10,02:00:00,2,1101,6,2015,11,01
3,2015-11-01 03:00:00,1,7,03:00:00,3,1101,6,2015,11,01
4,2015-11-01 04:00:00,1,9,04:00:00,4,1101,6,2015,11,01
5,2015-11-01 05:00:00,1,6,05:00:00,5,1101,6,2015,11,01
6,2015-11-01 06:00:00,1,9,06:00:00,6,1101,6,2015,11,01
7,2015-11-01 07:00:00,1,8,07:00:00,7,1101,6,2015,11,01
8,2015-11-01 08:00:00,1,11,08:00:00,8,1101,6,2015,11,01
9,2015-11-01 09:00:00,1,12,09:00:00,9,1101,6,2015,11,01
10,2015-11-01 10:00:00,1,15,10:00:00,10,1101,6,2015,11,01
11,2015-11-01 11:00:00,1,17,11:00:00,11,1101,6,2015,11,01
12,2015-11-01 12:00:00,1,16,12:00:00,12,1101,6,2015,11,01
13,2015-11-01 13:00:00,1,15,13:00:00,13,1101,6,2015,11,01
14,2015-11-01 14:00:00,1,16,14:00:00,14,1101,6,2015,11,01
15,2015-11-01 15:00:00,1,12,15:00:00,15,1101,6,2015,11,01
16,2015-11-01 16:00:00,1,12,16:00:00,16,1101,6,2015,11,01
17,2015-11-01 17:00:00,1,16,17:00:00,17,1101,6,2015,11,01
18,2015-11-01 18:00:00,1,17,18:00:00,18,1101,6,2015,11,01
19,2015-11-01 19:00:00,1,20,19:00:00,19,1101,6,2015,11,01
20,2015-11-01 20:00:00,1,17,20:00:00,20,1101,6,2015,11,01
21,2015-11-01 21:00:00,1,19,21:00:00,21,1101,6,2015,11,01
22,2015-11-01 22:00:00,1,20,22:00:00,22,1101,6,2015,11,01
23,2015-11-01 23:00:00,1,15,23:00:00,23,1101,6,2015,11,01
24,2015-11-02 00:00:00,1,14,00:00:00,0,1102,0,2015,11,02
25,2015-11-02 01:00:00,1,12,01:00:00,1,1102,0,2015,11,02
26,2015-11-02 02:00:00,1,14,02:00:00,2,1102,0,2015,11,02
27,2015-11-02 03:00:00,1,12,03:00:00,3,1102,0,2015,11,02
28,2015-11-02 04:00:00,1,12,04:00:00,4,1102,0,2015,11,02
29,2015-11-02 05:00:00,1,11,05:00:00,5,1102,0,2015,11,02
30,2015-11-02 06:00:00,1,13,06:00:00,6,1102,0,2015,11,02
31,2015-11-02 07:00:00,1,14,07:00:00,7,1102,0,2015,11,02
32,2015-11-02 08:00:00,1,12,08:00:00,8,1102,0,2015,11,02
33,2015-11-02 09:00:00,1,22,09:00:00,9,1102,0,2015,11,02
34,2015-11-02 10:00:00,1,32,10:00:00,10,1102,0,2015,11,02
35,2015-11-02 11:00:00,1,31,11:00:00,11,1102,0,2015,11,02
36,2015-11-02 12:00:00,1,35,12:00:00,12,1102,0,2015,11,02
37,2015-11-02 13:00:00,1,26,13:00:00,13,1102,0,2015,11,02
38,2015-11-02 14:00:00,1,34,14:00:00,14,1102,0,2015,11,02
39,2015-11-02 15:00:00,1,30,15:00:00,15,1102,0,2015,11,02
40,2015-11-02 16:00:00,1,27,16:00:00,16,1102,0,2015,11,02
41,2015-11-02 17:00:00,1,27,17:00:00,17,1102,0,2015,11,02
42,2015-11-02 18:00:00,1,24,18:00:00,18,1102,0,2015,11,02
43,2015-11-02 19:00:00,1,26,19:00:00,19,1102,0,2015,11,02
44,2015-11-02 20:00:00,1,29,20:00:00,20,1102,0,2015,11,02
45,2015-11-02 21:00:00,1,32,21:00:00,21,1102,0,2015,11,02
46,2015-11-02 22:00:00,1,30,22:00:00,22,1102,0,2015,11,02
47,2015-11-02 23:00:00,1,27,23:00:00,23,1102,0,2015,11,02
48,2015-11-03 00:00:00,1,21,00:00:00,0,1103,1,2015,11,03
49,2015-11-03 01:00:00,1,18,01:00:00,1,1103,1,2015,11,03
50,2015-11-03 02:00:00,1,19,02:00:00,2,1103,1,2015,11,03
51,2015-11-03 03:00:00,1,13,03:00:00,3,1103,1,2015,11,03
52,2015-11-03 04:00:00,1,11,04:00:00,4,1103,1,2015,11,03
53,2015-11-03 05:00:00,1,11,05:00:00,5,1103,1,2015,11,03
54,2015-11-03 06:00:00,1,11,06:00:00,6,1103,1,2015,11,03
55,2015-11-03 07:00:00,1,14,07:00:00,7,1103,1,2015,11,03
56,2015-11-03 08:00:00,1,15,08:00:00,8,1103,1,2015,11,03
57,2015-11-03 09:00:00,1,29,09:00:00,9,1103,1,2015,11,03
58,2015-11-03 10:00:00,1,33,10:00:00,10,1103,1,2015,11,03
59,2015-11-03 11:00:00,1,32,11:00:00,11,1103,1,2015,11,03
60,2015-11-03 12:00:00,1,32,12:00:00,12,1103,1,2015,11,03
61,2015-11-03 13:00:00,1,29,13:00:00,13,1103,1,2015,11,03
62,2015-11-03 14:00:00,1,27,14:00:00,14,1103,1,2015,11,03
63,2015-11-03 15:00:00,1,26,15:00:00,15,1103,1,2015,11,03
64,2015-11-03 16:00:00,1,28,16:00:00,16,1103,1,2015,11,03
65,2015-11-03 17:00:00,1,26,17:00:00,17,1103,1,2015,11,03
66,2015-11-03 18:00:00,1,25,18:00:00,18,1103,1,2015,11,03
67,2015-11-03 19:00:00,1,29,19:00:00,19,1103,1,2015,11,03
68,2015-11-03 20:00:00,1,26,20:00:00,20,1103,1,2015,11,03
69,2015-11-03 21:00:00,1,24,21:00:00,21,1103,1,2015,11,03
70,2015-11-03 22:00:00,1,25,22:00:00,22,1103,1,2015,11,03
71,2015-11-03 23:00:00,1,20,23:00:00,23,1103,1,2015,11,03
72,2015-11-04 00:00:00,1,18,00:00:00,0,1104,2,2015,11,04
73,2015-11-04 01:00:00,1,18,01:00:00,1,1104,2,2015,11,04
74,2015-11-04 02:00:00,1,13,02:00:00,2,1104,2,2015,11,04
75,2015-11-04 03:00:00,1,13,03:00:00,3,1104,2,2015,11,04
76,2015-11-04 04:00:00,1,10,04:00:00,4,1104,2,2015,11,04
77,2015-11-04 05:00:00,1,12,05:00:00,5,1104,2,2015,11,04
78,2015-11-04 06:00:00,1,13,06:00:00,6,1104,2,2015,11,04
79,2015-11-04 07:00:00,1,11,07:00:00,7,1104,2,2015,11,04
80,2015-11-04 08:00:00,1,13,08:00:00,8,1104,2,2015,11,04
81,2015-11-04 09:00:00,1,22,09:00:00,9,1104,2,2015,11,04
82,2015-11-04 10:00:00,1,26,10:00:00,10,1104,2,2015,11,04
83,2015-11-04 11:00:00,1,27,11:00:00,11,1104,2,2015,11,04
84,2015-11-04 12:00:00,1,31,12:00:00,12,1104,2,2015,11,04
85,2015-11-04 13:00:00,1,24,13:00:00,13,1104,2,2015,11,04
86,2015-11-04 14:00:00,1,23,14:00:00,14,1104,2,2015,11,04
87,2015-11-04 15:00:00,1,26,15:00:00,15,1104,2,2015,11,04
88,2015-11-04 16:00:00,1,26,16:00:00,16,1104,2,2015,11,04
89,2015-11-04 17:00:00,1,24,17:00:00,17,1104,2,2015,11,04
