Junction,Vehicles,Hour,Day-of-Week,Year,Month,Day
1,15,0,6,2015,11,1
1,13,1,6,2015,11,1
1,10,2,6,2015,11,1
1,7,3,6,2015,11,1
1,9,4,6,2015,11,1
1,6,5,6,2015,11,1
1,9,6,6,2015,11,1
1,8,7,6,2015,11,1
1,11,8,6,2015,11,1
1,12,9,6,2015,11,1
1,15,10,6,2015,11,1
1,17,11,6,2015,11,1
1,16,12,6,2015,11,1
1,15,13,6,2015,11,1
1,16,14,6,2015,11,1
1,12,15,6,2015,11,1
1,12,16,6,2015,11,1
1,16,17,6,2015,11,1
1,17,18,6,2015,11,1
1,20,19,6,2015,11,1
1,17,20,6,2015,11,1
1,19,21,6,2015,11,1
1,20,22,6,2015,11,1
1,15,23,6,2015,11,1
1,14,0,0,2015,11,2
1,12,1,0,2015,11,2
1,14,2,0,2015,11,2
1,12,3,0,2015,11,2
1,12,4,0,2015,11,2
1,11,5,0,2015,11,2
1,13,6,0,2015,11,2
1,14,7,0,2015,11,2
1,12,8,0,2015,11,2
1,22,9,0,2015,11,2
1,32,10,0,2015,11,2
1,31,11,0,2015,11,2
1,35,12,0,2015,11,2
1,26,13,0,2015,11,2
1,34,14,0,2015,11,2
1,30,15,0,2015,11,2
1,27,16,0,2015,11,2
1,27,17,0,2015,11,2
1,24,18,0,2015,11,2
1,26,19,0,2015,11,2
1,29,20,0,2015,11,2
1,32,21,0,2015,11,2
1,30,22,0,2015,11,2
1,27,23,0,2015,11,2
1,21,0,1,2015,11,3
1,18,1,1,2015,11,3
1,19,2,1,2015,11,3
1,13,3,1,2015,11,3
1,11,4,1,2015,11,3
1,11,5,1,2015,11,3
1,11,6,1,2015,11,3
1,14,7,1,2015,11,3
1,15,8,1,2015,11,3
1,29,9,1,2015,11,3
1,33,10,1,2015,11,3
1,32,11,1,2015,11,3
1,32,12,1,2015,11,3
1,29,13,1,2015,11,3
1,27,14,1,2015,11,3
1,26,15,1,2015,11,3
1,28,16,1,2015,11,3
1,26,17,1,2015,11,3
1,25,18,1,2015,11,3
1,29,19,1,2015,11,3
1,26,20,1,2015,11,3
1,24,21,1,2015,11,3
1,25,22,1,2015,11,3
1,20,23,1,2015,11,3
1,18,0,2,2015,11,4
1,18,1,2,2015,11,4
1,13,2,2,2015,11,4
1,13,3,2,2015,11,4
1,10,4,2,2015,11,4
1,12,5,2,2015,11,4
1,13,6,2,2015,11,4
1,11,7,2,2015,11,4
1,13,8,2,2015,11,4
1,22,9,2,2015,11,4
1,26,10,2,2015,11,4
1,27,11,2,2015,11,4
1,31,12,2,2015,11,4
1,24,13,2,2015,11,4
1,23,14,2,2015,11,4
1,26,15,2,2015,11,4
1,26,16,2,2015,11,4
1,24,17,2,2015,11,4
1,23,18,2,2015,11,4
1,25,19,2,2015,11,4
1,26,20,2,2015,11,4
1,24,21,2,2015,11,4
1,26,22,2,2015,11,4
1,24,23,2,2015,11,4
1,19,0,3,2015,11,5
1,20,1,3,2015,11,5
1,18,2,3,2015,11,5
1,13,3,3,2015,11,5
1,13,4,3,2015,11,5
1,9,5,3,2015,11,5
1,12,6,3,2015,11,5
1,12,7,3,2015,11,5
1,15,8,3,2015,11,5
1,16,9,3,2015,11,5
1,23,10,3,2015,11,5
1,24,11,3,2015,11,5
1,25,12,3,2015,11,5
1,24,13,3,2015,11,5
1,26,14,3,2015,11,5
1,22,15,3,2015,11,5
1,20,16,3,2015,11,5
1,20,17,3,2015,11,5
1,22,18,3,2015,11,5
1,26,19,3,2015,11,5
1,22,20,3,2015,11,5
1,21,21,3,2015,11,5
1,21,22,3,2015,11,5
1,21,23,3,2015,11,5
1,16,0,4,2015,11,6
1,18,1,4,2015,11,6
1,19,2,4,2015,11,6
1,14,3,4,2015,11,6
1,12,4,4,2015,11,6
1,13,5,4,2015,11,6
1,14,6,4,2015,11,6
1,14,7,4,2015,11,6
1,13,8,4,2015,11,6
1,20,9,4,2015,11,6
1,22,10,4,2015,11,6
1,26,11,4,2015,11,6
1,26,12,4,2015,11,6
1,21,13,4,2015,11,6
1,23,14,4,2015,11,6
1,23,15,4,2015,11,6
1,19,16,4,2015,11,6
1,19,17,4,2015,11,6
1,20,18,4,2015,11,6
1,24,19,4,2015,11,6
1,18,20,4,2015,11,6
1,19,21,4,2015,11,6
1,16,22,4,2015,11,6
1,17,23,4,2015,11,6
1,16,0,5,2015,11,7
1,16,1,5,2015,11,7
1,10,2,5,2015,11,7
1,9,3,5,2015,11,7
1,8,4,5,2015,11,7
1,7,5,5,2015,11,7
1,9,6,5,2015,11,7
1,8,7,5,2015,11,7
1,12,8,5,2015,11,7
1,13,9,5,2015,11,7
1,17,10,5,2015,11,7
1,14,11,5,2015,11,7
1,14,12,5,2015,11,7
1,14,13,5,2015,11,7
1,14,14,5,2015,11,7
1,11,15,5,2015,11,7
1,15,16,5,2015,11,7
1,13,17,5,2015,11,7
1,12,18,5,2015,11,7
1,17,19,5,2015,11,7
1,18,20,5,2015,11,7
1,17,21,5,2015,11,7
1,16,22,5,2015,11,7
1,15,23,5,2015,11,7
1,13,0,6,2015,11,8
1,16,1,6,2015,11,8
1,11,2,6,2015,11,8
1,8,3,6,2015,11,8
1,10,4,6,2015,11,8
1,10,5,6,2015,11,8
1,10,6,6,2015,11,8
1,9,7,6,2015,11,8
1,11,8,6,2015,11,8
1,12,9,6,2015,11,8
1,18,10,6,2015,11,8
1,14,11,6,2015,11,8
1,17,12,6,2015,11,8
1,14,13,6,2015,11,8
1,14,14,6,2015,11,8
1,14,15,6,2015,11,8
1,12,16,6,2015,11,8
1,14,17,6,2015,11,8
1,18,18,6,2015,11,8
1,13,19,6,2015,11,8
1,16,20,6,2015,11,8
1,18,21,6,2015,11,8
1,14,22,6,2015,11,8
1,14,23,6,2015,11,8
1,13,0,0,2015,11,9
1,15,1,0,2015,11,9
1,11,2,0,2015,11,9
1,10,3,0,2015,11,9
1,9,4,0,2015,11,9
1,8,5,0,2015,11,9
1,8,6,0,2015,11,9
1,10,7,0,2015,11,9
1,11,8,0,2015,11,9
1,17,9,0,2015,11,9
1,19,10,0,2015,11,9
1,22,11,0,2015,11,9
1,23,12,0,2015,11,9
1,23,13,0,2015,11,9
1,24,14,0,2015,11,9
1,24,15,0,2015,11,9
1,19,16,0,2015,11,9
1,19,17,0,2015,11,9
1,20,18,0,2015,11,9
1,31,19,0,2015,11,9
1,25,20,0,2015,11,9
1,35,21,0,2015,11,9
1,21,22,0,2015,11,9
1,24,23,0,2015,11,9
1,19,0,1,2015,11,10
1,19,1,1,2015,11,10
1,18,2,1,2015,11,10
1,17,3,1,2015,11,10
1,12,4,1,2015,11,10
1,10,5,1,2015,11,10
1,14,6,1,2015,11,10
1,15,7,1,2015,11,10
1,14,8,1,2015,11,10
1,34,9,1,2015,11,10
1,40,10,1,2015,11,10
1,38,11,1,2015,11,10
1,36,12,1,2015,11,10
1,27,13,1,2015,11,10
1,48,14,1,2015,11,10
1,43,15,1,2015,11,10
1,41,16,1,2015,11,10
1,35,17,1,2015,11,10
1,40,18,1,2015,11,10
1,40,19,1,2015,11,10
1,40,20,1,2015,11,10
1,36,21,1,2015,11,10
1,37,22,1,2015,11,10
1,35,23,1,2015,11,10
1,28,0,2,2015,11,11
1,25,1,2,2015,11,11
1,19,2,2,2015,11,11
1,21,3,2,2015,11,11
1,20,4,2,2015,11,11
